annex_a,quota_period,line,label,category,value,repaired
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Average Monthly Quota for Feb 2020 to Apr 2020,Average Monthly Quota for Feb 2020 to Apr 2020 Bidding Exercises,Total,6350,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Monthly Quota for Nov 2019 to Jan 2020,Monthly Quota for Nov 2019 to Jan 2020 Bidding Exercises,A,2036,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Monthly Quota for Nov 2019 to Jan 2020,Monthly Quota for Nov 2019 to Jan 2020 Bidding Exercises,B,2023,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Monthly Quota for Nov 2019 to Jan 2020,Monthly Quota for Nov 2019 to Jan 2020 Bidding Exercises,C,635,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Monthly Quota for Nov 2019 to Jan 2020,Monthly Quota for Nov 2019 to Jan 2020 Bidding Exercises,D,1382,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Monthly Quota for Nov 2019 to Jan 2020,Monthly Quota for Nov 2019 to Jan 2020 Bidding Exercises,E,754,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Monthly Quota for Nov 2019 to Jan 2020,Monthly Quota for Nov 2019 to Jan 2020 Bidding Exercises,Total,6830,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,A1),A1) Vehicle Population As at 31 Dec 2019,A,321103,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,A1),A1) Vehicle Population As at 31 Dec 2019,B,308991,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,A1),A1) Vehicle Population As at 31 Dec 2019,C,151753,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,A1),A1) Vehicle Population As at 31 Dec 2019,D,140329,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,A1),A1) Vehicle Population As at 31 Dec 2019,E,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,A1),A1) Vehicle Population As at 31 Dec 2019,Total,922176,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,A2),A2) Net Increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],A,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,A2),A2) Net Increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],B,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,A2),A2) Net Increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],C,94,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,A2),A2) Net Increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],D,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,A2),A2) Net Increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],E,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,A2),A2) Net Increase allowed per quarter [Cat C Only] [0.25% x vehicle population / 4],Total,94,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(A),(A) Increase in Vehicle Population,A,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(A),(A) Increase in Vehicle Population,B,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(A),(A) Increase in Vehicle Population,C,94,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(A),(A) Increase in Vehicle Population,D,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(A),(A) Increase in Vehicle Population,E,0,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,(A),(A) Increase in Vehicle Population,Total,94,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,B1),B1) Total vehicle deregistrations from Jul 2020 to Sep 2020,A,4984,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,B1),B1) Total vehicle deregistrations from Jul 2020 to Sep 2020,B,5257,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,B1),B1) Total vehicle deregistrations from Jul 2020 to Sep 2020,C,2939,False
2020-10-Certificate_of_entitlement_quota_for_Nov20_to_Jan21.annex-a.pdf,Nov 2020 to Jan 2021,B1),B1) Total vehicle deregistrations from Jul 2020 to Sep 2020,D,2308,False
