lever_set,b_A,b_B,b_C,pcu_C,growth_upper,categories,jacobian_s2,jacobian_s3,r2_O1,r2_O2,r2_O3,largest_unexplained,o3_flat,front_s2,front_s3,front_n
injection,-1.0,-0.5,-0.5,3.0,0.01,ABC,0.1513,0.0689,0.99761,0.96938,0.85697,0.3782,False,0.4810,0.0328,200
injection,-1.0,-0.5,-0.5,3.0,0.03,ABCDE,0.2398,0.1241,0.98386,0.88390,0.82288,0.4209,False,0.5300,0.0414,200
injection,-1.0,-0.5,-0.5,3.0,0.03,ABC,0.1587,0.1294,0.99389,0.88390,0.82288,0.4209,False,0.3803,0.0450,200
injection,-1.0,-0.5,-1.0,1.0,0.01,ABCDE,0.1875,0.0083,0.99583,0.99736,0.86337,0.3696,False,0.5662,0.0347,200
injection,-1.0,-0.5,-1.0,1.0,0.01,ABC,0.1588,0.0127,0.99617,0.99736,0.86337,0.3696,False,0.5715,0.0171,200
injection,-1.0,-0.5,-1.0,1.0,0.03,ABCDE,0.2485,0.0222,0.98386,0.98915,0.81279,0.4327,False,0.6172,0.0566,200
injection,-1.0,-0.5,-1.0,1.0,0.03,ABC,0.1934,0.0148,0.98860,0.98915,0.81279,0.4327,False,0.5164,0.0251,200
injection,-1.0,-0.5,-1.0,1.5,0.01,ABCDE,0.1895,0.0266,0.99583,0.99499,0.86337,0.3696,False,0.5720,0.0275,200
injection,-1.0,-0.5,-1.0,1.5,0.01,ABC,0.1624,0.0033,0.99617,0.99499,0.86337,0.3696,False,0.5945,0.0104,200
injection,-1.0,-0.5,-1.0,1.5,0.03,ABCDE,0.2541,0.0564,0.98386,0.97967,0.81279,0.4327,False,0.4978,0.0428,200
injection,-1.0,-0.5,-1.0,1.5,0.03,ABC,0.2029,0.0133,0.98860,0.97967,0.81279,0.4327,False,0.4177,0.0118,200
injection,-1.0,-0.5,-1.0,2.0,0.01,ABCDE,0.1915,0.0443,0.99583,0.98943,0.86337,0.3696,False,0.3441,0.0274,200
injection,-1.0,-0.5,-1.0,2.0,0.01,ABC,0.1667,0.0188,0.99617,0.98943,0.86337,0.3696,False,0.4447,0.0142,200
injection,-1.0,-0.5,-1.0,2.0,0.03,ABCDE,0.2608,0.0875,0.98386,0.95726,0.81279,0.4327,False,0.4524,0.0347,200
injection,-1.0,-0.5,-1.0,2.0,0.03,ABC,0.2161,0.0370,0.98860,0.95726,0.81279,0.4327,False,0.3737,0.0154,200
injection,-1.0,-0.5,-1.0,3.0,0.01,ABCDE,0.1972,0.0774,0.99583,0.96938,0.86337,0.3696,False,0.5362,0.0341,200
injection,-1.0,-0.5,-1.0,3.0,0.01,ABC,0.1770,0.0464,0.99617,0.96938,0.86337,0.3696,False,0.4100,0.0122,200
injection,-1.0,-0.5,-1.0,3.0,0.03,ABCDE,0.2769,0.1383,0.98386,0.88390,0.81279,0.4327,False,0.5246,0.0367,200
injection,-1.0,-0.5,-1.0,3.0,0.03,ABC,0.2502,0.0717,0.98860,0.88390,0.81279,0.4327,False,0.3734,0.0184,200
injection,-1.0,-0.5,-2.0,1.0,0.01,ABCDE,0.2741,0.0220,0.98935,0.99736,0.70208,0.5458,False,0.6087,0.0365,200
injection,-1.0,-0.5,-2.0,1.0,0.01,ABC,0.2681,0.0233,0.98390,0.99736,0.70208,0.5458,False,0.5755,0.0311,200
injection,-1.0,-0.5,-2.0,1.0,0.03,ABCDE,0.3794,0.0427,0.95766,0.98915,0.59403,0.6372,False,0.5837,0.0475,200
injection,-1.0,-0.5,-2.0,1.0,0.03,ABC,0.3579,0.0236,0.95352,0.98915,0.59403,0.6372,False,0.5946,0.0301,200
injection,-1.0,-0.5,-2.0,1.5,0.01,ABCDE,0.2791,0.0334,0.98935,0.99499,0.70208,0.5458,False,0.5975,0.0295,200
